ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Selected,Prediction,Accuracy,Oracle_view
0 (0.08),0 (0.44),0 (0.2),0 (0.04),0 (0.0),0 (0.0),0 (0.2),0 (0.32),0 (0.16),0 (0.0),0 (0.0),0 (0.0),0 (0.12),0 (0.2),0 (0.04),0,"ELECTRA,ELMO,LLAMA,RoBERTa,W2V",ELECTRA,"(0, 0, 0, 0, 0)",TRUE,TRUE
0 (0.28),0 (0.24),1 (0.44),0 (0.36),0 (0.2),0 (0.08),0 (0.2),0 (0.08),0 (0.16),0 (0.04),0 (0.04),0 (0.08),0 (0.04),0 (0.08),0 (0.2),0,"LLAMA,RoBERTa,XLNET",LLAMA,"(0, 0, 0)",TRUE,TRUE
1 (0.24),1 (0.4),1 (0.04),1 (0.04),1 (0.36),1 (0.0),1 (0.0),1 (0.28),1 (0.24),1 (0.2),1 (0.12),1 (0.2),1 (0.08),1 (0.0),1 (0.0),1,"ELMO,Falcon,LLAMA3,MISTRAL",ELMO,"(1, 1, 1, 1)",TRUE,TRUE
0 (0.0),0 (0.0),0 (0.0),0 (0.04),0 (0.04),0 (0.0),0 (0.12),0 (0.2),0 (0.2),0 (0.08),0 (0.2),0 (0.2),0 (0.44),0 (0.04),0 (0.0),0,"ALBERT,BART,BERT,ELMO,MISTRAL",ALBERT,"(0, 0, 0, 0, 0)",TRUE,TRUE
0 (0.16),0 (0.44),0 (0.08),0 (0.0),0 (0.24),0 (0.24),0 (0.16),0 (0.24),0 (0.32),0 (0.0),0 (0.04),0 (0.16),0 (0.0),0 (0.04),0 (0.04),0,"DistilBERT,LLAMA,XLNET",DistilBERT,"(0, 0, 0)",TRUE,TRUE
0 (0.12),0 (0.32),0 (0.04),0 (0.0),0 (0.0),0 (0.16),0 (0.0),0 (0.16),1 (0.36),0 (0.0),0 (0.28),0 (0.12),0 (0.16),0 (0.0),0 (0.0),0,"DistilBERT,ELECTRA,Falcon,LLAMA,LLAMA3,MISTRAL",DistilBERT,"(0, 0, 0, 0, 0, 0)",TRUE,TRUE
1 (0.0),1 (0.6),1 (0.04),1 (0.0),1 (0.12),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.0),0 (0.44),1 (0.0),0 (0.2),1,"ALBERT,DistilBERT,Falcon,Fasttext,Glove,LLAMA,W2V,LLAMA3",ALBERT,"(1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.0),1 (0.12),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.2),1 (0.12),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL",ALBERT,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.2),1 (0.52),1 (0.12),1 (0.48),0 (0.0),1 (0.4),1 (0.44),1 (0.12),1 (0.0),1 (0.32),0 (0.44),1 (0.2),0 (0.24),0 (0.32),1 (0.16),0,"ELECTRA,Glove",ELECTRA,"(0, 1)",TRUE,TRUE
0 (0.28),0 (0.28),0 (0.04),0 (0.16),0 (0.32),0 (0.0),0 (0.0),0 (0.04),0 (0.32),0 (0.2),0 (0.24),0 (0.04),0 (0.04),0 (0.16),0 (0.12),0,"ELMO,Falcon",ELMO,"(0, 0)",TRUE,TRUE
1 (0.0),1 (0.44),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.24),1 (0.32),1 (0.0),1 (0.0),1 (0.2),1 (0.0),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.12),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"BERT,DistilBERT,ELMO,Falcon,Fasttext,LLAMA,W2V,XLNET,LLAMA3,MISTRAL",BERT,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.24),0 (0.2),0 (0.08),0 (0.0),0 (0.2),0 (0.04),0 (0.04),0 (0.32),0 (0.44),0 (0.16),0 (0.12),0 (0.32),0 (0.2),0 (0.08),0 (0.0),0,"DistilBERT,MISTRAL",DistilBERT,"(0, 0)",TRUE,TRUE
1 (0.12),1 (0.24),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.12),1 (0.04),1 (0.24),1 (0.04),1 (0.08),1 (0.0),1 (0.12),1,"BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,LLAMA3",BERT,"(1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.2),0 (0.04),0 (0.24),0 (0.32),0 (0.12),0 (0.24),0 (0.32),0 (0.4),0 (0.44),0 (0.08),0 (0.44),0 (0.48),0 (0.56),0 (0.28),0 (0.08),0,BART,BART,"(0,)",TRUE,TRUE
1 (0.08),1 (0.28),1 (0.08),1 (0.0),1 (0.24),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1,"DistilBERT,Falcon,Fasttext,Glove,LLAMA,W2V,LLAMA3,MISTRAL",DistilBERT,"(1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.04),0 (0.04),0 (0.16),0 (0.08),0 (0.28),0 (0.0),0 (0.04),0 (0.12),0 (0.28),0 (0.0),0 (0.32),0 (0.04),0 (0.24),0 (0.16),0 (0.0),0,"ELMO,LLAMA,MISTRAL",ELMO,"(0, 0, 0)",TRUE,TRUE
0 (0.08),0 (0.36),0 (0.12),0 (0.08),0 (0.24),0 (0.2),0 (0.12),0 (0.44),0 (0.56),0 (0.04),0 (0.04),0 (0.12),0 (0.08),0 (0.0),0 (0.0),0,"LLAMA3,MISTRAL",LLAMA3,"(0, 0)",TRUE,TRUE
0 (0.04),0 (0.16),0 (0.08),0 (0.2),0 (0.2),0 (0.04),0 (0.28),0 (0.36),0 (0.52),0 (0.0),0 (0.44),0 (0.44),0 (0.16),0 (0.24),0 (0.16),0,LLAMA,LLAMA,"(0,)",TRUE,TRUE
0 (0.0),0 (0.28),0 (0.36),0 (0.0),0 (0.16),0 (0.04),0 (0.2),0 (0.04),0 (0.08),0 (0.0),0 (0.44),0 (0.0),0 (0.16),0 (0.12),0 (0.32),0,"ALBERT,DistilBERT,LLAMA,W2V",ALBERT,"(0, 0, 0, 0)",TRUE,TRUE
1 (0.28),0 (0.52),0 (0.2),0 (0.16),0 (0.44),0 (0.2),0 (0.12),0 (0.2),0 (0.44),0 (0.04),0 (0.28),1 (0.2),1 (0.04),0 (0.4),0 (0.2),0,"LLAMA,XLNET",LLAMA,"(0, 1)",TRUE,TRUE
